iter	Passed	Remaining
0	20	20906
1	42	21188
2	62	20932
3	83	20740
4	104	20750
5	124	20641
6	144	20567
7	165	20503
8	186	20520
9	207	20507
10	227	20437
11	248	20474
12	268	20420
13	289	20369
14	310	20397
15	332	20455
16	353	20418
17	373	20362
18	393	20342
19	415	20337
20	435	20291
21	455	20247
22	476	20237
23	496	20184
24	517	20175
25	537	20146
26	559	20144
27	580	20139
28	600	20101
29	620	20060
30	640	20029
31	661	20007
32	683	20018
33	703	19998
34	724	19967
35	744	19935
36	765	19933
37	786	19908
38	806	19876
39	827	19850
40	847	19824
41	867	19797
42	888	19781
43	909	19764
44	930	19745
45	950	19714
46	970	19687
47	990	19650
48	1012	19641
49	1031	19603
50	1055	19642
51	1079	19675
52	1100	19670
53	1121	19653
54	1143	19643
55	1165	19642
56	1185	19613
57	1207	19611
58	1227	19580
59	1249	19575
60	1270	19555
61	1290	19522
62	1310	19496
63	1339	19586
64	1380	19854
65	1418	20076
66	1456	20285
67	1496	20505
68	1533	20690
69	1575	20938
70	1613	21116
71	1651	21283
72	1689	21453
73	1731	21667
74	1775	21894
75	1813	22053
76	1853	22218
77	1892	22370
78	1931	22515
79	1969	22644
80	2006	22763
81	2045	22898
82	2083	23021
83	2121	23132
84	2159	23243
85	2198	23361
86	2236	23467
87	2276	23591
88	2314	23693
89	2357	23841
90	2398	23963
91	2437	24059
92	2480	24187
93	2518	24275
94	2558	24373
95	2600	24486
96	2641	24587
97	2680	24669
98	2718	24738
99	2757	24818
100	2795	24884
101	2834	24956
102	2873	25023
103	2911	25081
104	2949	25144
105	2987	25199
106	3027	25265
107	3066	25328
108	3104	25379
109	3142	25427
110	3183	25493
111	3223	25561
112	3270	25671
113	3312	25745
114	3356	25830
115	3396	25881
116	3436	25937
117	3474	25973
118	3514	26018
119	3552	26052
120	3592	26096
121	3630	26127
122	3671	26180
123	3711	26223
124	3751	26262
125	3790	26290
126	3828	26318
127	3868	26356
128	3909	26395
129	3947	26415
130	3984	26434
131	4021	26446
132	4060	26471
133	4099	26495
134	4137	26512
135	4175	26528
136	4214	26545
137	4251	26556
138	4289	26573
139	4327	26585
140	4369	26621
141	4407	26632
142	4446	26648
143	4485	26662
144	4524	26678
145	4561	26683
146	4599	26691
147	4637	26699
148	4677	26715
149	4715	26721
150	4753	26727
151	4792	26737
152	4832	26750
153	4874	26780
154	4917	26806
155	4958	26825
156	4982	26752
157	5006	26679
158	5029	26604
159	5050	26517
160	5074	26442
161	5096	26363
162	5119	26286
163	5142	26212
164	5166	26143
165	5188	26069
166	5212	26000
167	5235	25929
168	5261	25870
169	5284	25799
170	5308	25734
171	5332	25668
172	5357	25610
173	5382	25552
174	5406	25487
175	5429	25421
176	5452	25352
177	5476	25289
178	5500	25228
179	5523	25162
180	5545	25090
181	5567	25023
182	5589	24952
183	5611	24884
184	5632	24813
185	5654	24744
186	5675	24673
187	5696	24604
188	5717	24535
189	5738	24464
190	5760	24399
191	5783	24338
192	5803	24268
193	5826	24208
194	5847	24140
195	5869	24075
196	5889	24007
197	5910	23942
198	5932	23877
199	5954	23816
200	5975	23754
201	5997	23692
202	6019	23631
203	6042	23577
204	6063	23513
205	6084	23450
206	6104	23385
207	6125	23322
208	6145	23260
209	6174	23226
210	6213	23232
211	6253	23242
212	6293	23252
213	6335	23271
214	6386	23319
215	6436	23360
216	6482	23391
217	6525	23409
218	6567	23421
219	6610	23435
220	6655	23459
221	6699	23478
222	6743	23497
223	6792	23532
224	6841	23563
225	6887	23586
226	6933	23610
227	6981	23639
228	7026	23656
229	7072	23676
230	7117	23694
231	7197	23826
232	7249	23864
233	7297	23888
234	7347	23919
235	7403	23966
236	7459	24015
237	7522	24084
238	7585	24154
239	7650	24226
240	7710	24282
241	7761	24310
242	7810	24331
